swarm_size,spso_mean_time,spso_std_time,rl_spso_mean_time,rl_spso_std_time,spso_mean_iters,spso_std_iters,rl_spso_mean_iters,rl_spso_std_iters,spso_mean_swarm_dist,spso_std_swarm_dist,rl_spso_mean_swarm_dist,rl_spso_std_swarm_dist
5,1202.67,560.2271374679698,1027.15,645.981820662364,268.46,73.90854572587077,248.85,82.38213190107219,13399.8,3696.9170830831354,12419.3,4119.377038074833
6,1514.64,628.9292732152566,1121.25,816.6037251564518,271.92,72.89104640807847,237.94,89.16818973493889,16288.8,4373.380284300819,14250.0,5351.36988031659
7,1566.09,877.8299701335369,1217.85,977.5031103828165,254.63,85.90723855626857,230.02,91.34394762477024,17791.3,6012.9934485346985,16068.6,6391.633581361171
8,1746.91,1022.358899355265,1276.71,1126.338810958189,258.7,82.20969738074908,228.88,89.05976656269665,20657.5,6577.722945017838,18271.9,7124.220275605853
9,1897.09,1198.9655313450573,1325.75,1272.519574773535,243.8,94.31400380182846,223.8,92.5130621407954,21902.9,8489.844116425937,20102.8,8327.369875927518
10,1804.05,1407.6393116910958,1261.82,1394.4183638109953,240.99,86.4886861287812,210.95,96.71298524578545,24051.1,8648.3163416618,21047.0,9673.382045697368
11,2219.55,1506.5432999573773,1380.67,1538.8823115455837,243.0,92.3801981492842,213.15,87.48845522684577,26677.9,10162.864991644032,23394.2,9622.9776760385
12,1935.6,1735.9126089347315,1379.31,1670.8410613892158,222.8,96.71378162162596,193.51,98.80656492727228,26679.7,11605.91606844883,23165.1,11857.277141149236
13,2135.19,1877.9079951591955,1115.29,1656.1823162156556,230.62,91.63649971931535,181.34,88.0295198421323,29919.3,11911.829639632879,23512.9,11445.166267861288
14,2655.64,1974.8556091956991,1198.59,1785.4391027973986,241.88,88.72819464664276,186.62,94.40251023883815,33798.7,12420.941233304831,26062.7,13216.709568886004
15,2220.87,2194.865448373692,863.62,1652.2053017684937,208.39,105.96672767306431,151.1,95.66740576211171,31188.4,15894.408121580167,22594.9,14347.86229774845
16,3120.63,2241.1240850848653,1437.56,2103.5850030484876,245.54,91.81760795900279,180.12,98.83822922106381,39213.0,14687.335333269924,28745.9,15812.332234587335
17,2914.1,2470.3546079235043,1128.54,1992.9263059657028,230.63,97.98336851247004,170.41,94.2086760678901,39127.2,16658.82488731611,28890.0,16013.32046526367
18,2334.11,2615.9493048519794,1509.29,2313.500698229216,195.71,108.02088228718098,185.94,94.06228540362783,35145.8,19443.033557009305,33387.2,16927.604977155697
19,2688.47,2786.354924765988,700.84,1673.4697621554103,208.56,105.39462351878612,162.16,87.26503459362326,39538.5,20028.43641935237,30722.5,16578.417293260987
20,3290.68,2940.998514144817,1175.11,2268.5663469702754,217.7,106.84875556437973,151.17,98.68233444397802,43446.1,21373.853605976088,30140.4,19735.187920631168
21,2452.37,3020.7966861894115,554.48,1583.487274685499,176.16,118.51861039558729,135.53,86.1007695973301,36898.0,24888.983527056724,28365.6,18081.925085230247
22,2319.16,3081.1877701872563,1023.3,2258.477902115368,181.03,112.36335854465344,143.04,91.92760876105314,39726.1,24717.686870585672,31368.5,20224.397476385504
23,3236.01,3390.2670896690315,796.7,2042.2023094510673,204.78,105.02838288825174,138.01,83.0772422617541,46997.5,24160.12933000203,31640.2,19107.77207041547
24,3013.68,3498.6765055524997,1118.15,2462.8029460373195,189.53,113.32232165755599,153.96,92.83730963683762,45374.3,27196.820864976413,36837.7,22279.76061452196
25,2551.71,3482.161308684158,1001.45,2408.311363536155,180.1,106.61888134184235,139.3,87.83863764099635,44901.1,26652.958669695283,34701.4,21960.198156453578
26,2951.04,3726.0345100523436,969.1,2409.8025297362506,180.73,109.07247659934724,145.96,87.62879928794223,46867.3,28362.460638041335,37827.3,22780.225602371665
27,2033.26,3419.8884045234486,995.69,2506.446467177841,164.71,109.1264020123527,139.46,85.62526059829105,44346.9,29463.196069268546,37529.9,23118.86590202815
28,2759.07,3880.0234333745143,619.17,1973.0074313958967,172.01,112.95744215134184,134.43,77.63801721561234,48027.8,31625.09694415612,37505.3,21739.135424390726
29,2777.75,3980.7380016623533,1142.56,2800.9372216449196,178.51,108.913226047532,136.38,83.75502758918205,51633.9,31579.148276172444,39416.4,24292.16020684763
30,2944.48,4165.9316793691805,565.6,1943.1695393315167,165.11,111.45437939744086,131.69,88.37154062207578,49398.4,33436.12619290516,39372.2,26509.088991353798
31,2769.5,4185.6340202548945,923.48,2643.884265564015,164.19,108.68234642407397,115.07,81.2549616200684,50755.4,33691.4126102894,35528.7,25188.786291891596
