Area,Method,mu_I,mu_Ts,mu_SD
25x25,SPSO,372.96,1747.02,18626.6
25x25,RL-SPSO,355.11,1568.63,17727.2
25x25,ARPSO,95.54,14.794423975439503,506.71001560706003
25x25,RL-ARPSO,152.89,31.570405420819597,702.8695882574688
50x50,SPSO,362.67,1640.95,18113.2
50x50,RL-SPSO,332.2,1434.68,16589.7
50x50,ARPSO,82.45,25.79863131813738,1102.7100349856037
50x50,RL-ARPSO,221.44,86.83401882331141,1400.377582428559
75x75,SPSO,340.56,1506.93,17006.9
75x75,RL-SPSO,354.28,1584.57,17692.9
75x75,ARPSO,67.27,37.06330283999857,1656.6967050955686
75x75,RL-ARPSO,236.04,142.67794524404152,2150.7224935113913
100x100,SPSO,363.5,1609.37,18149.8
100x100,RL-SPSO,341.93,1491.99,17071.6
100x100,ARPSO,70.7,52.562735582090745,2318.3538230868535
100x100,RL-ARPSO,224.74,192.66425103618985,2977.2205703429204
