swarm_size,arpso_mean_time,arpso_std_time,rl_arpso_mean_time,rl_arpso_std_time,arpso_mean_iters,arpso_std_iters,rl_arpso_mean_iters,rl_arpso_std_iters,arpso_mean_swarm_dist,arpso_std_swarm_dist,rl_arpso_mean_swarm_dist,rl_arpso_std_swarm_dist
5,48.282289125827255,38.65168099169965,188.90704235381725,147.75019390160872,77.14,113.93603644150521,248.4,178.74926573275764,2118.7503238717677,644.6836754106677,2737.4287411848736,1214.416706420351
6,42.774370602502586,33.325945751880425,101.59815424792306,115.66279420926972,49.06,72.22019385185835,110.06,143.47688454939353,2646.050603562548,615.9741886452109,3649.8261491152643,1716.4451055628065
7,43.36990894844735,33.68549349725558,62.445513748044775,53.453501212259994,44.08,62.94595777331536,58.11,90.02043045886862,3357.2244695799036,708.3077677433672,3846.7656334190524,1394.0139767339683
8,37.46098889474552,18.539773238405925,46.13954825834164,37.6332261466931,31.18,7.2806318407127275,29.15,39.803360410899984,3737.454706940861,788.3484733150925,4302.900171186771,1337.3303534239406
9,37.29109373015895,22.13155760741479,48.2166500193996,39.022444790731264,32.73,37.355014388967916,26.49,38.666909625673476,4104.608767743414,823.072790427191,4845.759027232953,1482.3772846788243
10,35.834207741983434,14.666563452135577,46.87680768468919,35.112043178389776,28.51,7.147719916169072,25.32,38.4400520291011,4721.271716659047,885.0267584446852,5214.154477116119,1445.1879894272752
11,34.96972863450178,14.992762280610226,49.11110161807487,31.330932819933324,26.93,5.791813187595056,20.29,6.275818671695352,5152.90178873989,904.9006211097734,6182.910204978399,1530.8474536644578
12,33.85908976318471,14.222367071693919,42.8559575120513,25.70442924308679,26.87,5.350990562503357,17.96,5.549630618338486,5554.075191547791,833.7762592394025,6230.789886580777,1716.864166179339
13,36.96286655505244,17.103939359029184,44.44443843746931,27.656315406811288,26.39,6.415442307432903,17.2,4.888762624632126,6011.595390099554,1039.6881696962002,6720.263468425924,1719.7591132651628
14,34.78543191400863,14.715167319919475,36.413868034574286,19.539487261758264,25.66,5.453842681999546,16.51,4.126729940279591,6403.187309707947,1088.483465624971,7017.820026451469,1572.949473057713
15,34.72131006030305,14.243495415634548,40.590232064396226,22.094280872159008,26.55,5.673402858955108,15.57,3.899371744268556,7021.068118737482,1069.8891333698116,7348.079558060352,1588.6208978985487
16,31.69807752711695,12.238671676742813,37.98682721641287,22.107426757957573,24.57,6.234187998448555,15.49,3.6482735643040805,7088.3291364487295,1179.1307569083435,7880.304123838755,1636.9799401394243
17,34.913969714988234,16.13260392426541,37.88887052092431,17.8336949917473,25.47,5.509001724450629,15.14,3.4147327860317276,7915.210136859134,1224.748557228919,8218.118653838072,1631.0649192544638
18,34.01306502510945,12.807639316435434,35.52996447471625,22.009811437841154,24.32,5.053474052570173,13.95,3.4824560298731697,8138.70573166798,1046.7207857051912,8226.031489650526,1846.8301845474302
19,33.07195259441407,14.313158318250533,35.94579630896181,20.15170331060709,23.99,5.705251966390266,14.78,3.3183730953586275,8692.01818570034,1157.4257903158448,9165.839589409145,1788.630316433141
20,34.016404055638084,14.140003451610047,34.295523007863984,18.833300547314924,24.88,4.617964919745493,13.73,3.065468969015997,9239.218044070862,1180.8472040816614,9122.27337939675,1902.3951409179758
21,35.811754610855374,16.12058325947382,33.65060694335396,17.217198725099557,24.32,5.260950484465711,13.74,3.122883283121545,9794.214191126934,1305.1631128889037,9488.131459997678,1769.6846755775653
22,32.31719577994297,10.751099935944882,36.34127143125798,19.39502822896231,23.03,4.792608892868267,13.23,3.1586547769580644,9825.928223374343,1207.435421853421,10038.830008596848,1812.0673382623388
23,33.70925370809143,14.598154032046564,32.71372420123478,17.819537141186924,23.71,5.6396719762766345,13.36,2.729542086138259,10451.317930933144,1522.9164878826848,10485.045732538336,1914.7238251766146
24,31.724035513360786,12.738824550827614,28.82770140363989,13.325908079550128,23.18,4.6677189289844785,13.15,2.8822734082664674,10918.00672324128,1330.7661206407288,10877.433892672034,2098.547946451778
25,32.37366181967244,12.4096562053015,29.639015031527656,15.142807756764862,23.47,4.846555477862602,12.61,2.5802906812992985,11318.506842543145,1375.6693630059735,11221.86399978914,1961.0462505297928
26,34.461361061465034,12.363797748191045,31.10777774474154,16.023062734372026,22.67,4.440844514278788,12.66,2.502878343028282,11733.341099784491,1399.6043277445592,11558.003030639999,1830.2806774899693
27,34.02363786441341,13.535025513554077,27.466987764900047,14.470091180346719,22.48,4.201142701694385,12.76,2.8534890923218894,12268.36079809909,1246.615717825174,12185.152754929206,2257.1003309988823
28,34.49399575148415,15.620200118432706,27.977357386805632,16.74599130687903,22.4,4.728636167014756,11.6,2.172556098240043,12659.667715458709,1595.8632652271494,11792.881077861311,1823.395057499748
29,32.49387473592892,14.221303228674644,30.754809657107135,15.032236950599472,21.83,4.07198968564509,12.35,2.4914855006601986,12812.572824712353,1470.4926348409572,12560.015356169504,2234.0223887932016
30,31.017064670203098,13.714825606679632,31.07425850110001,15.948866315720556,21.31,4.822229774699667,12.27,2.3615884484812333,13226.659418480604,1901.4143151738604,13282.698783389582,2046.9429919568145
