N | standard: time(mean±std) iters(mean±std) dist(mean±std) || rl: time(mean±std) iters(mean±std) dist(mean±std)
 5 | std: 1293.260±492.762   274.21± 67.72  13699.600±3385.606 || rl: 1110.920±611.805   259.77± 77.98  12977.600±3898.512
 6 | std: 1503.330±634.903   274.23± 63.40  16443.400±3803.756 || rl: 1254.050±781.727   249.84± 85.80  14980.000±5147.613
 7 | std: 1723.500±780.364   266.35± 82.11  18634.100±5747.841 || rl: 1409.340±945.885   240.08± 96.55  16795.200±6757.948
 8 | std: 1705.700±1040.660   257.47± 80.65  20587.300±6451.635 || rl: 1475.280±1115.026   236.92± 94.30  18943.300±7543.764
 9 | std: 1883.530±1195.904   252.25± 87.75  22692.500±7897.379 || rl: 1706.210±1248.815   242.87± 86.58  21848.300±7792.283
10 | std: 1897.760±1414.659   224.41±109.65  22431.000±10964.618 || rl: 1981.050±1365.197   253.74± 82.59  25364.000±8259.156
11 | std: 1961.230±1580.853   221.81±106.15  24389.100±11676.987 || rl: 1719.240±1588.951   219.82±102.03  24170.200±11223.239
12 | std: 2313.320±1686.975   235.01±100.95  28191.200±12114.010 || rl: 1769.670±1732.479   219.25± 98.69  26300.000±11843.014
13 | std: 2620.120±1791.374   244.81± 89.79  31815.300±11673.221 || rl: 1723.130±1861.997   211.62± 98.74  27500.600±12835.564
14 | std: 2350.240±2054.817   205.90±116.38  28816.000±16293.290 || rl: 1970.230±2027.489   215.72±106.16  30190.800±14862.663
15 | std: 2309.680±2201.091   210.22±106.80  31522.800±16020.463 || rl: 1894.320±2138.432   214.77± 96.31  32205.300±14445.819
16 | std: 2277.240±2340.089   207.76±107.05  33231.600±17127.801 || rl: 2095.560±2313.073   206.03±104.28  32954.800±16684.656
17 | std: 2554.520±2507.239   203.08±109.73  34513.600±18654.231 || rl: 2026.530±2418.346   202.95± 99.65  34491.500±16940.333
18 | std: 2115.660±2584.193   178.09±114.94  32046.200±20689.208 || rl: 1989.100±2515.947   204.50±103.86  36800.000±18694.852
19 | std: 2457.900±2772.723   190.34±114.34  36154.600±21725.460 || rl: 2033.870±2644.765   198.23±100.74  37653.700±19139.852
20 | std: 2300.840±2849.177   192.23±106.75  38436.000±21350.729 || rl: 1654.750±2588.857   173.12±100.19  34614.000±20037.566
21 | std: 2691.060±3086.356   171.56±127.16  36017.600±26704.499 || rl: 2295.940±2953.063   196.35±103.41  41223.500±21715.706
22 | std: 2380.790±3111.694   176.18±114.86  38749.600±25268.306 || rl: 1823.370±2846.049   185.68±102.68  40839.600±22589.521
23 | std: 3093.030±3391.100   189.50±113.55  43575.000±26115.726 || rl: 1745.190±2911.539   161.50±102.62  37135.000±23602.412
24 | std: 2453.470±3347.935   176.86±110.44  42436.400±26505.004 || rl: 1769.530±2983.505   182.83±105.02  43869.200±25203.637
25 | std: 2847.970±3582.946   184.39±112.01  46087.500±28001.598 || rl: 1314.140±2714.093   162.35±100.73  40577.500±25183.478
26 | std: 2643.170±3637.258   168.60±114.28  43826.000±29713.100 || rl: 1420.240±2902.445   145.49±105.53  37817.400±27437.445
27 | std: 2177.150±3528.544   149.45±113.62  40341.500±30677.926 || rl: 2036.690±3424.661   164.96±105.44  44529.200±28468.827
28 | std: 2599.890±3816.097   170.22±107.62  47651.600±30133.821 || rl: 2266.260±3654.158   160.58±108.54  44952.400±30390.290
29 | std: 2426.030±3834.957   158.37±114.90  45917.300±33320.214 || rl: 1990.550±3581.281   142.83±105.60  41410.700±30623.577
30 | std: 2580.620±4023.323   145.02±119.24  43496.000±35771.929 || rl: 1889.700±3573.429   149.97±109.07  44981.000±32721.899
