n_particles,run,Ts,I,SD,Success,Type
5,0,13.32734800156309,22,569.6599667522435,1,Fixed
5,0,27.052861109212564,400,270.52861109212563,0,RL
5,1,14.458810275445831,20,662.5666448370454,1,Fixed
5,1,73.7025004382948,400,737.025004382948,0,RL
5,2,91.73629720904835,400,917.3629720904835,0,Fixed
5,2,11.431266734234507,22,663.3442547889458,1,RL
5,3,20.0024571256855,23,763.2964275066478,1,Fixed
5,3,11.582400203426365,25,504.8378084018477,1,RL
5,4,8.745396950102037,14,780.150406078485,1,Fixed
5,4,12.167264876216871,20,823.7407067761342,1,RL
5,5,10.47802798584377,21,679.6720286098465,1,Fixed
5,5,81.5622536679718,400,815.622536679718,0,RL
5,6,13.144912577437264,20,718.2881797999631,1,Fixed
5,6,14.752949679403006,19,930.9105098902455,1,RL
5,7,25.221612267642268,20,691.5909829223679,1,Fixed
5,7,57.94775665143593,400,579.4775665143593,0,RL
5,8,10.143748035550615,15,767.0772565599293,1,Fixed
5,8,15.30116006234186,27,825.1934855119039,1,RL
5,9,54.83525562967602,400,548.3525562967602,0,Fixed
5,9,16.555184896854428,21,700.2727692722183,1,RL
5,10,36.81756659115105,24,1009.4525451447267,1,Fixed
5,10,64.94256136080814,400,649.4256136080814,0,RL
5,11,14.356816210138698,29,841.4982604360358,1,Fixed
5,11,9.803939881079618,22,853.384879459737,1,RL
5,12,12.568099528719227,22,780.2793601278288,1,Fixed
5,12,11.644336786694307,22,890.1679883238272,1,RL
5,13,107.69849815988096,400,1076.9849815988096,0,Fixed
5,13,75.69551798288842,400,756.9551798288842,0,RL
5,14,13.715072265825892,18,754.6624791432414,1,Fixed
5,14,28.12965746917616,400,281.2965746917616,0,RL
5,15,16.147956779803444,27,829.1123053001797,1,Fixed
5,15,20.04292242936078,19,886.1120241897482,1,RL
5,16,15.84105015260107,22,933.0874138139473,1,Fixed
5,16,56.5342514368828,400,565.342514368828,0,RL
5,17,12.473126250761633,18,962.0718206284848,1,Fixed
5,17,52.162308132506574,400,521.6230813250658,0,RL
5,18,77.63572886233204,400,776.3572886233204,0,Fixed
5,18,36.161510040478596,400,361.61510040478595,0,RL
5,19,15.114446226330028,20,1005.2196513377135,1,Fixed
5,19,99.18150058432101,400,991.8150058432102,0,RL
5,20,30.220882355811597,24,1167.8815421436952,1,Fixed
5,20,66.50750408784953,400,665.0750408784952,0,RL
5,21,9.748867966880441,13,671.307061085398,1,Fixed
5,21,56.3449336774475,400,563.449336774475,0,RL
5,22,24.604267805907178,24,760.6993241822112,1,Fixed
5,22,57.622159536943514,400,576.2215953694351,0,RL
